"","ramage","ramages","caquet","caquets","babil","babils","charivari","charivarys","charivary","charivaris","total"
"1783",39,11,34,11,51,2,14,NA,NA,1,34217736
"1784",38,5,14,13,44,1,12,NA,NA,3,30688666
"1785",118,17,69,16,78,NA,22,NA,NA,1,26447060
"1786",49,13,32,8,50,NA,18,NA,NA,4,34634755
"1787",49,11,38,8,101,3,13,NA,NA,NA,39126791
"1788",31,10,22,2,36,NA,7,NA,NA,NA,29043768
"1789",43,5,12,5,19,3,9,NA,NA,1,26027070
"1790",66,7,9,3,9,NA,6,NA,NA,NA,18283740
"1791",10,2,25,3,26,1,6,NA,NA,1,18616493
"1792",18,6,7,3,19,NA,4,NA,NA,NA,21571479
"1793",22,8,13,3,14,2,3,NA,NA,NA,16383889
"1794",44,25,6,4,21,2,3,NA,NA,1,11139719
"1795",19,1,5,5,7,NA,2,NA,NA,1,11111819
"1796",11,4,8,4,9,1,5,NA,NA,1,8291601
"1797",38,3,18,4,20,2,5,NA,NA,NA,17783226
"1798",97,23,37,11,58,3,12,NA,NA,NA,27760555
"1799",54,4,10,3,27,NA,11,NA,NA,NA,13875885
